Pit: Mirage 2000-D	Creator: Laurent Buzzz Buzzi	Version: 1.5	Generated by LODexporter	
SimMainPowerDec                  -1.70848 -0.989175 -1.771514    40  115   2 
SimMalIndLights                  -1.71025 -1.090964 -1.773445    40  115   1 
SimMalIndLightsOFF               -1.71025 -1.090964 -1.773445    40  115   2 
SimMalIndLightsOFF               1.35857 1.253588 -2.391576    55  115   2 
SimMalIndLights                  1.35857 1.253588 -2.391576    55  115   1 
SimMalIndLightsOFF               1.17109 1.253588 -2.391576    55  115   2 
SimMalIndLights                  1.17109 1.253588 -2.391576    55  115   1 
SimMasterFuelOn                  0.27501 -1.384655 -2.269501    35  125   1 
SimMasterFuelOff                 0.27501 -1.384655 -2.269501    35  125   2 
SimMasterFuelOff                 0.27501 -1.452693 -2.269501    35  125   2 
SimMasterFuelOn                  0.27501 -1.452916 -2.269501    35  125   1 
SimParkingBrakeInc               0.24224 -0.895645 -2.204254    65  123   1 
SimParkingBrakeInc               0.37125 -0.895645 -2.216660    65  123   1 
SimParkingBrakeInc               0.50022 -0.895645 -2.233459    65  123   1 
SimParkingBrakeInc               0.41099 -0.895645 -2.009276    65  123   1 
SimParkingBrakeDec               0.41099 -0.895645 -2.009276    65  123   2 
SimParkingBrakeInc               0.53522 -0.895645 -2.047801    65  123   1 
SimParkingBrakeDec               0.53522 -0.895645 -2.047801    65  123   2 
SimParkingBrakeInc               0.28598 -0.895645 -1.975073    65  123   1 
SimParkingBrakeDec               0.28598 -0.895645 -1.975073    65  123   2 
SimParkingBrakeDec               0.48133 -0.895645 -1.820463    65  123   2 
SimParkingBrakeDec               0.59764 -0.895645 -1.878677    65  123   2 
SimParkingBrakeDec               0.36355 -0.895645 -1.766387    65  123   2 
SimRALTDown                      -1.45455 -0.130231 -0.926780    30  115   2 
SimRALTUp                        -1.45481 -0.130231 -0.926805    30  115   1 
SimRetUp                         -1.51636 -0.199506 -1.102563    35  124   1 
SimRetDn                         -1.51636 -0.199506 -1.102563    35  124   2 
SimReticleSwitchUp               -1.45193 0.115818 -0.922820    30  115   1 
SimReticleSwitchDown             -1.45193 0.115818 -0.922820    30  115   2 
SimSeatOn                        -0.95336 -0.103463 -2.186572   120  129   1 
SimSeatOff                       -0.95336 -0.103463 -2.186572   120  129   2 
SimSeatOn                        -1.06875 0.013637 -1.986716   120  129   1 
SimSeatOff                       -1.06875 0.013637 -1.986716   120  129   2 
SimSilenceHorn                   -1.47918 0.119085 -0.825363    20  126   1 
SimStepComm1VolumeDown           0.40502 1.361310 -2.372436    25  125   2 w
SimStepComm1VolumeUp             0.40502 1.361310 -2.372436    25  125   1 w
SimStepComm2VolumeDown           0.40502 1.257211 -2.372436    25  125   2 w
SimStepComm2VolumeUp             0.40502 1.257211 -2.372436    25  125   1 w
SimStepMissileVolumeDown         0.40502 1.153738 -2.372436    25  125   2 w
SimStepMissileVolumeUp           0.40502 1.153738 -2.372436    25  125   1 w
SimStepThreatVolumeDown          0.50377 1.367579 -2.372436    25  125   2 w
SimStepThreatVolumeUp            0.50377 1.367579 -2.372436    25  125   1 w
SimStepIntercomVolumeDown        0.50377 1.475405 -2.372436    25  125   2 w
SimStepIntercomVolumeUp          0.50377 1.475405 -2.372436    25  125   1 w
SimILSUp                         0.50377 1.147792 -2.372436    25  125   2 w
SimILSDown                       0.50377 1.147792 -2.372436    25  125   1 w
SimSymWheelUp                    -1.51636 0.198519 -1.102563    35  124   1 w
SimSymWheelDn                    -1.51636 0.198519 -1.102563    35  124   2 w
SimTACANTR                       -0.87547 -1.178150 -2.286735    35  125   2 w
SimTACANAATR                     -0.87547 -1.178150 -2.286735    35  125   1 w
SimThrottleIdleDetent            -0.66247 0.948635 -2.345475    55  126   1 
SimTrimAPDISC                    0.67129 1.164826 -2.377337    40  115   2 
SimTrimAPNORM                    0.67129 1.164826 -2.377337    40  115   1 
SimTrimNoseUp                    0.66203 1.285911 -2.379638    25  124   2 
SimTrimNoseUp                    0.66203 1.285911 -2.379638    25  124   1 
SimTrimNoseDown                  0.71395 1.285911 -2.379638    25  124   2 
SimTrimNoseDown                  0.71395 1.285911 -2.379638    25  124   1 
SimTrimRollLeft                  0.84052 1.412681 -2.379638    25  124   2 
SimTrimRollLeft                  0.84052 1.412681 -2.379638    25  124   1 
SimTrimRollRight                 0.84052 1.350410 -2.379638    25  124   2 
SimTrimRollRight                 0.84052 1.350410 -2.379638    25  124   1 
SimTrimYawLeft                   0.79561 1.200142 -2.343174    25  124   2 
SimTrimYawLeft                   0.79561 1.200142 -2.343174    25  124   1 
SimTrimYawRight                  0.79561 1.151981 -2.343174    25  124   2 
SimTrimYawRight                  0.79561 1.151981 -2.343174    25  124   1 
SimWarnReset                     -1.71025 -1.204566 -1.773445    40  115   1 
SimStepFormationLightsDown       -0.89555 1.222477 -2.368484    35  115   2 
SimStepFormationLightsUp         -0.89555 1.222477 -2.368484    35  115   1 
ExtinguishMasterCaution          -1.80192 0.399472 -0.833289    40  127   1 
SimAltPressInc                   -1.74622 -0.646551 -1.401882    15  125   1 w
SimAltPressDec                   -1.74622 -0.646551 -1.401882    15  125   2 w
SimCBEOSB_20R                    -1.76318 0.184117 -1.472881    30  126   1 
SimCBEOSB_19R                    -1.73510 0.184346 -1.533155    30   30   1 
SimCBEOSB_18R                    -1.70591 0.184109 -1.591343    30  126   1 
SimCBEOSB_17R                    -1.67916 0.182582 -1.648639    30  126   1 
SimCBEOSB_16R                    -1.65157 0.181524 -1.707750    30  126   1 
SimCBEOSB_15R                    -1.62862 0.131094 -1.758549    30  126   1 
SimCBEOSB_14R                    -1.62862 0.066101 -1.758549    30  126   1 
SimCBEOSB_13R                    -1.62862 -0.000136 -1.758549    30  126   1 
SimCBEOSB_12R                    -1.62862 -0.067695 -1.758549    30  126   1 
SimCBEOSB_11R                    -1.62862 -0.133291 -1.758549    30  126   1 
SimCBEOSB_10R                    -1.64998 -0.180093 -1.709433    30  126   1 
SimCBEOSB_9R                     -1.67842 -0.179584 -1.648507    30  126   1 
SimCBEOSB_8R                     -1.70694 -0.178443 -1.587399    30  126   1 
SimCBEOSB_7R                     -1.73532 -0.178834 -1.530944    30  126   1 
SimCBEOSB_6R                     -1.76239 -0.178665 -1.472848    30  126   1 
SimCBEOSB_5R                     -1.79864 -0.127316 -1.404454    30  126   1 
SimCBEOSB_4R                     -1.79864 -0.063083 -1.404454    30  126   1 
SimCBEOSB_3R                     -1.79864 0.000560 -1.404454    30  126   1 
SimCBEOSB_2R                     -1.79864 0.065550 -1.404454    30  126   1 
SimCBEOSB_1R                     -1.79864 0.127425 -1.404454    30  126   1 
SimCBEOSB_20L	                 -1.77328 0.736681 -1.197654	15	126	1		
SimCBEOSB_19L	                 -1.77030 0.735927 -1.237490	15	30	1		
SimCBEOSB_18L	                 -1.76522 0.735554 -1.277521	15	126	1		
SimCBEOSB_17L	                 -1.76209 0.735780 -1.316843	15	126	1		
SimCBEOSB_2L	                 -1.77823 0.654008 -1.149950	15	126	1		
SimCBEOSB_3L	                 -1.77823 0.610167 -1.149950	15	126	1		
SimCBEOSB_4L	                 -1.77823 0.565351 -1.149950	15	126	1		
SimCBEOSB_1L	                 -1.77823 0.698038 -1.149950	15	126	1		
SimCBEOSB_5L	                 -1.77823 0.523394 -1.149950	15	126	1		
SimCBEOSB_7L	                 -1.77012 0.484722 -1.237670	15	126	1		
SimCBEOSB_16L	                 -1.75900 0.734723 -1.356623	15	126	1		
SimCBEOSB_6L	                 -1.77321 0.483702 -1.197310	15	126	1		
SimCBEOSB_8L	                 -1.76495 0.485340 -1.277696	15	126	1		
SimCBEOSB_9L	                 -1.76192 0.487382 -1.318791	15	126	1		
SimCBEOSB_10L	                 -1.75876 0.486871 -1.356322	15	126	1		
SimCBEOSB_14L	                 -1.75396 0.654952 -1.389835	15	126	1		
SimCBEOSB_13L	                 -1.75396 0.610707 -1.389835	15	126	1		
SimCBEOSB_12L	                 -1.75396 0.565076 -1.389835	15	126	1		
SimCBEOSB_11L	                 -1.75396 0.525536 -1.389835	15	126	1		
SimCBEOSB_15L	                 -1.75396 0.697507 -1.389835	15	126	1		
SimCBEOSB_BRTUP_R                -1.57788 -0.254177 -1.775334    20  126   1 w
SimCBEOSB_BRTDOWN_R              -1.57788 -0.254177 -1.775334    20  126   2 w
SimIncFuelPump                   -1.70714 -0.424217 -1.719702    25  124   1 
SimDecFuelPump                   -1.70714 -0.424217 -1.719702    25  124   2 
SimIncFuelSwitch                 -1.73141 -0.425628 -1.576573    25  129   1 w
SimDecFuelSwitch                 -1.73141 -0.425628 -1.576573    25  129   2 w
SimDLPower                       -1.72722 0.727010 -1.695722    15  126   1 
SimEWSRWROff                     -0.69983 -1.012978 -2.288656    40  115   2 w
SimEWSRWROn                      -0.69983 -1.012978 -2.288656    40  115   1 w
SimEWSChaffOff                   -0.70490 -1.182026 -2.300713    35  115   2 
SimEWSChaffOn                    -0.70490 -1.182026 -2.300713    35  115   1 
SimEWSFlareOff                   -0.70490 -1.245460 -2.300713    35  115   2 
SimEWSFlareOn                    -0.70490 -1.245460 -2.300713    35  115   1 
SimEWSPGMDec                     -0.74267 -1.308400 -2.291466    20  115   2 
SimEWSPGMInc                     -0.74267 -1.308400 -2.291466    20  115   1 
SimEWSPGMDec                     -0.65846 -1.308400 -2.291466    20  115   2 
SimEWSPGMInc                     -0.65846 -1.308400 -2.291466    20  115   1 
SimEWSPGMDec                     -0.70066 -1.308400 -2.291466    20  115   2 
SimEWSPGMInc                     -0.70066 -1.308400 -2.291466    20  115   1 
SimEWSProgDec                    -0.70802 -1.444565 -2.291466    40  126   2 w
SimEWSProgInc                    -0.70802 -1.444565 -2.291466    40  126   1 w
SimFCCPower                      -1.73516 0.658889 -1.630167    15  126   1 
SimFCRPower                      -1.73458 0.728080 -1.631462    15  126   1 
SimFuelTransWing                 -1.71885 -0.424867 -1.654586    25  129   1 
SimFuelTransNorm                 -1.71885 -0.424867 -1.654586    25  129   2 
SimGPSPower                      -1.72961 0.588282 -1.693626    15  126   1 
SimGPSPower                      -1.72961 0.658555 -1.693626    15  126   1 
SimHsiCourseInc                  -1.73214 0.426625 -1.430057    30  125   1 w
SimHsiCourseDec                  -1.73214 0.426625 -1.430057    30  125   2 w
SimHsiHeadingInc                 -1.73214 0.798609 -1.434374    30  125   1 w
SimHsiHeadingDec                 -1.73214 0.798609 -1.434374    30  125   2 w
SimHUDDEDDown                    -0.52365 -1.073127 -2.290043    30  115   2 
SimHUDDEDUp                      -0.52345 -1.073127 -2.290043    30  115   1 
SimICPAA                         -1.74237 0.729424 -1.565066    15  126   1 
SimICPAG                         -1.74237 0.662195 -1.565066    15  126   1 
SimLaserArmOn                    -1.77492 0.955631 -1.209450    25  115   1 
SimLaserArmOff                   -1.77492 0.955631 -1.209450    25  115   2 
SimLeftAPDown                    -1.80022 0.546900 -0.820312    25  122   1 
SimLeftAPMid                     -1.79626 0.596271 -0.863272    25  122   1 
SimLeftAPUp                      -1.79226 0.645445 -0.907533    25  122   1 
SimMasterArmDown                 -1.70819 0.853405 -1.564538    35  115   2 
SimMasterArmUp                   -1.70863 0.853405 -1.564571    35  115   1 
SimMFDPower                      -1.73484 0.520807 -1.629573    15  126   1 
SimMPOToggle                     -1.79848 0.351584 -0.727377    40  115   2 
SimMPOToggle                     -1.79848 0.351584 -0.727377    40  115   1 
SimRightAPMid                    -1.78419 0.746172 -0.992772    25  122   2 
SimRightAPDown                   -1.78419 0.746172 -0.992772    25  122   1 
SimRightAPMid                    -1.78823 0.698320 -0.951572    25  122   2 
SimRightAPUp                     -1.78823 0.698320 -0.951572    25  122   1 
SimToggleTFR                     -1.79355 0.476850 -0.928950    25  122   1 
SimRightHptPower                 -1.72946 0.519489 -1.695342    15  126   1 
SimRWRHandoff                    -1.73798 0.503809 -1.433267    20  126   2 
SimRWRHandoff                    -1.73798 0.503809 -1.433267    20  126   1 
SimEWSJammerOn                   -1.78289 0.480359 -1.006517    35  125   2 
SimEWSJammerOff                  -1.78289 0.480359 -1.006517    35  125   1 
SimRwrPower                      -1.76392 0.525532 -1.092233    20  126   1 
SimRWRSetGroundPriority          -1.72770 0.880199 -1.277382    20  126   1 
SimRWRSetPriority                -1.72762 0.341159 -1.277516    20  126   1 
SimRWRSetSearch                  -1.76385 0.453038 -1.093009    20  126   1 
SimRWRSetTargetSep               -1.73943 0.341159 -1.142587    20  126   1 
SimRWRSetUnknowns                -1.73352 0.341159 -1.210146    20  126   1 
SimSMSPower                      -1.73502 0.589218 -1.630976    15  126   1 
SimUFCPower                      -1.73487 0.381054 -1.630802    15  126   1 
AFGearDown                       -1.60835 1.335485 -1.752353    50  119   1 
AFGearUp                         -1.57526 1.335485 -1.892938    50  119   1 
AFAlternateGear                  -1.66799 1.142504 -1.607494    40  125   1 
AFAlternateGearReset             -1.67850 1.306204 -2.108662    40  125   1 
SimEmergencyJettison             -1.72734 1.040658 -1.662739    55  123   1 
SimEcmPowerOff                   -0.70490 -1.117207 -2.300713    35  115   2 
SimEcmPowerOn                    -0.70490 -1.117207 -2.300713    35  115   1 
SimRWRSetNaval                   -1.72762 0.341159 -1.347684    20  126   1 
SimEWSPGMDec                     -1.72770 0.880199 -1.211830    20  126   2 
SimEWSPGMInc                     -1.72770 0.880199 -1.211830    20  126   1 
SimEWSProgDec                    -1.72770 0.880199 -1.143463    40  126   2 w
SimEWSProgInc                    -1.72770 0.880199 -1.143463    40  126   1 w
SimEcmPowerOff                   -1.76392 0.598683 -1.092233    20  126   2 
SimEcmPowerOn                    -1.76392 0.598683 -1.092233    20  126   1 

//KneePads
SimRightKneePadInc               -0.775250   -0.511368    -1.811727   100    115    1    w
SimRightKneePadDec               -0.775250   -0.511368    -1.811727   100    115    2    w
SimLeftKneePadInc                -0.714940    0.481883    -1.731376   100    115    1    w
SimLeftKneePadDec                -0.714940    0.481883    -1.731376   100    115    2    w
